#Name	RON	PubChem	>= 1 O	>= 1 any ring size 3	>= 1 any ring size 5	>= 1 any ring size 6	>= 1 any ring size 7	>= 1 any ring size 8	>= 1 aromatic ring	>= 1 hetero-aromatic ring	>= 1 saturated or aromatic carbon-only ring size 3	>= 1 saturated or aromatic carbon-only ring size 5	>= 1 saturated or aromatic carbon-only ring size 6	>= 1 saturated or aromatic carbon-only ring size 7	>= 1 saturated or aromatic carbon-only ring size 8	>= 1 saturated or aromatic heteroatom-containing ring size 5	>= 16 H	>= 2 O	>= 4 C	>= 8 C	>= 8 H	Auto-Ignition	Boiling Point	C(-C)(-C)(=C)	C(-C)(-C)(=O)	C(-C)(-H)(=C)	C(-C)(-H)(=O)	C(-C)(-O)(=O)	C(-C)(=C)	C(-C)(=O)	C(-H)(=C)	C(-H)(=O)	C(-O)(=O)	C(:C)(:C)	C(~C)(:C)	C(~C)(:C)(:C)	C(~C)(~C)	C(~C)(~C)(~C)	C(~C)(~C)(~C)(~C)	C(~C)(~C)(~C)(~H)	C(~C)(~C)(~C)(~O)	C(~C)(~C)(~H)(~O)	C(~C)(~C)(~O)	C(~C)(~H)(~O)	C(~C)(~O)	C(~H)(:C)	C(~H)(:C)(:C)	C(~H)(~H)(~H)	C(~H)(~O)	C(~O)(:C)	C(~O)(:C)(:C)	C(~O)(~O)	C-C(C)(C)-C-C	C-C(C)-C(C)-C	C-C(C)-C-C	C-C(C)-C-C-C	C-C-C(C)-C-C	C-C-C-C-C	C-C-C-C-C-C	C-C-C-C-C-C(C)-C	C-C-C-C-C-C-C	C-C-C-C-C-C-C-C	C-C-C-C:C	C-C-C-O-[#1]	C-C-C:C-C	C-C-C=C	C-C-C=C-C	C-C-O-C-C	C-C-O-C:C	C-C:C-C-C	C-C:C-C:C	C-C:C-O-C	C-C:C:C-C	C-C=C-C	C-C=C-C-C	C-C=C-C:C	C-C=C-C=C	C-O	C-O-C-C:C	C-O-C-C=C	C-O-C:C-C	C-O-C=C	C:C-C-C	C:C-C-C-C	C:C-C-C:C	C:C-C:C	C:C-C=C	C:C-C=C-C	C:C-O-C	C:C-O-C-C	C=C	C=C-C-C	C=C-C-C-C	C=C-C-O-C	C=C-C-O-[#1]	C=C-C:C	C=C-C=C	C=O	CC1C(C)CCC1	CC1C(C)CCCC1	CC1CC(C)CC1	CC1CC(C)CCC1	CC1CCC(C)CC1	Cc1c(C)cccc1	Cc1ccc(C)cc1	Complexity	Defined Bond Stereocenter Count	Density	Exact Mass	Flash Point	Heavy Atom Count	Hydrogen Bond Acceptor Count	Hydrogen Bond Donor Count	LogP	Melting Point	Molecular Weight	Monoisotopic Mass	O(:C)(:C)	O(~C)(~C)	O(~C)(~H)	O-C-C-C-C	O-C-C-C-C-C	O-C-C-C-C-C-C	O-C-C-C:C	O-C-C-C=C	O-C-C:C	O-C-C:C-C	O-C-C=C	O-C-C=C-C	O-C:C-C	O-C:C-C-C	O-C:C-[#1]	O-C:C:C-C	O-C=C-C	O-H	O=C-C-C	O=C-C-C-C	O=C-C-C-C-C	O=C-C-C:C	O=C-C:C	O=C-C:C-C	O=C-C=C	O=C-C=C-C	O=C-C=C-[#1]	PubChem	Rotatable Bond Count	Topological Polar Surface Area	Undefined Atom Stereocenter Count	Undefined Bond Stereocenter Count	Vapor Density	Vapor Pressure	XLogP3	XLogP3-AA	[#1]-C-C=C-[#1]	[#1]-C-O-[#1]	[#1]-C=C-[#1]
"2,4,4-Trimethyl-1-Pentene"	106	7868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	736	101.4	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	82.7	0	0.715	112.1252	23	8	0	0	4.55	-93.5	112.21264	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7868	2	0	0	0	3.8	44.7	1.17046	3.7	1	0	0
"2,4,4-Trimethyl-2-Pentene"	103.5	7869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	581	104.9	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	87.1	0	0.7218	112.1252	35	8	0	0	3.01431	-106.3	112.21264	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7869	1	0	0	0	3.8	35.9	3.59484	3.6	1	0	0
2-Methylpentane	73.4	7892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	306.11111	60.21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.2	0	0.655	86.10955	20	6	0	0	3.21	-153.6	86.17536	86.10955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7892	2	0	0	0	3	211	2.75465	3.2	0	0	0
2-pentanone	105.7	7895	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	452.22222	102.26	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	47.9	0	0.809	86.07317	7.22222	6	1	0	0.91	-76.8	86.1323	86.07317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	7895	2	17.1	0	0	2.96	35.4	0.9	3.34995	0	0	0
"2,4-Dimethylpentane"	83.1	7907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	454.48418	100.32981	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.3	0	1.38596	100.1252	13.34117	7	0	0	2.35413	-103.84948	100.20194	100.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7907	2	0	0	0	2.55135	1523.96354	3.45992	3.4	0	0	0
4-Methylpentan-2-ol	102	7910	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	453.51254	133	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.4	0	0.8075	102.10447	105	7	1	1	1.43	-90	102.17476	102.10447	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7910	2	20.2	1	0	1	2.8	2.71125	1.7	0	1	0
"1-Methylethyl ester, acetic acid"	102.9	7915	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	460	88.6	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	66.5	0	0.8718	102.06808	2	7	2	0	1.02	-73.4	102.1317	102.06808	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7915	2	26.3	0	0	3.52	60.37	2.9198	0.9	0	0	0
Methylcyclohexane	73.8	7962	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	250	100.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0.7694	98.10955	-3.88889	7	0	0	3.61	-126.6	98.18606	98.10955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7962	0	0	0	0	3.39	46	3.6	3.34995	0	0	0
Pentane	61.8	8003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	260	36.06	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0.6262	72.0939	-40	5	0	0	3.39	-129.67	72.14878	72.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8003	2	0	0	0	2.48	514	3.4	3.56918	0	0	0
1-Pentene	87.9	8004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	527	29.9	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21.2	0	0.6405	70.07825	-18	5	0	0	2.1456	-165.2	70.1329	70.07825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8004	2	0	0	0	2.42	635	2.94863	2.4	1	0	1
Hexane	24.8	8058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	225	68.73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0.6606	86.10955	-21.66667	6	0	0	3.9	-95.35	86.17536	86.10955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8058	3	0	0	0	2.97	153	3.9	2.29929	0	0	0
Cyclohexane	84	8078	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	245	80.7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.5	0	0.7781	84.0939	-17.22222	6	0	0	3.44	6.47	84.15948	84.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8078	0	0	0	0	2.98	96.9	3.4	3.40737	0	0	0
1-Octene	28.7	8125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	446	121.2	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0.7149	112.1252	70	8	0	0	4.57	-101.7	112.21264	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8125	5	0	0	0	3.87	17.4	4.6	2.52201	1	0	1
2-Octene	56.3	8126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	601.9526	80.23813	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	53.1	0	0.83954	112.1252	34.7651	8	0	0	1.66385	-96.08224	112.21264	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8126	4	0	0	1	2.71306	5440.49197	1.65642	3.7	1	0	1
Propene	101.8	8252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	-48	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0.5139	42.04695	-107.77778	3	0	0	1.77	-185	42.07974	42.04695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8252	0	0	0	0	1.49	8690	2.61581	1.4	1	0	1
2-Methylpropene	106.3	8255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	869	-6.9	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0.589	56.0626	-76.1	4	0	0	2.34	-140.4	56.10632	56.0626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8255	0	0	0	0	1.94	2308	3.51538	2.1	1	0	0
2-Methyl-3-buten-2-ol	106.6	8257	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	380	97	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	55	0	0.8	86.07317	10	6	1	1	0.66	-28	86.1323	86.07317	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8257	1	20.2	0	0	1	40.33286	0.8	2.57729	0	0	1
Cyclopentanone	104	8452	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	609.09366	130.6	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	58.3	0	0.94869	84.05751	87	6	1	0	0.24	-51.3	84.11642	84.05751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	8452	0	17.1	0	0	2.3	11.4	0.4	3.34995	0	0	0
2-methyl-butanol	101	8723	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	725	128	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.1	0	0.816	88.08881	122	6	1	1	1.29	-70	88.14818	88.08881	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8723	2	20.2	1	0	3	3.13	1.29023	1.2	0	1	0
Ethyl acetate	118	8857	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	427	77.1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	49.5	0	0.9003	88.05243	-4	6	2	0	0.73	-83.8	88.10512	88.05243	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8857	2	26.3	0	0	3.04	93.2	0.7	3.90557	0	0	0
Heptane	0	8900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	285	98.38	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.2	0	0.6795	100.1252	-3.88889	7	0	0	4.66	-90.549	100.20194	100.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8900	4	0	0	0	3.45	46	4.4	3.35012	0	0	0
Cyclopentane	101.6	9253	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	361.11111	49.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.6	0	0.7457	70.07825	-20	5	0	0	3	-93.4	70.1329	70.07825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9253	0	0	0	0	2.42	317.8	3	2.78291	0	0	0
Cycloheptane	38.9	9265	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	442.78503	118.48	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7	0	0.8098	98.10955	6	7	0	0	4	-8	98.18606	98.10955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9265	0	0	0	0	3.3	21.6	4	3.06432	0	0	0
Cyclooctane	71	9266	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	490.90678	75.90876	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0.77171	112.1252	7.10196	8	0	0	1.30768	-107.15844	112.21264	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9266	0	0	0	0	2.84904	222.85202	4.5	3.15747	0	0	0
"2,2-Dimethylpropane"	85.5	10041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	450	9.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.5	0	0.591	72.0939	19.4	5	0	0	3.11	-16.37	72.14878	72.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10041	0	0	0	0	2.5	1290	2.17639	2.5	0	0	0
"2,2,3-Trimethylbutane"	112.1	10044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	377.74762	170.01692	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.5	0	0.86078	100.1252	26.81613	7	0	0	2.94513	-112.08477	100.20194	100.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10044	1	0	0	0	2.99726	58.20312	2.63795	3.3	0	0	0
2-Methyl-2-Butene	97.3	10553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	496.81452	37.5	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0.66	70.07825	20	5	0	0	2.21962	-133.61	70.1329	70.07825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10553	0	0	0	0	2.4	468	1.56722	2.3	1	0	0
2-methylfuran	103	10797	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	485.53599	145	0	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	43.2	0	0.9132	82.04187	-22	6	1	0	1.41918	-127.7	82.10054	82.04187	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	10797	0	13.1	0	0	2.8	59	1.8	2.70615	1	0	1
"2,2,4-trimethylpentane"	100	10907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	784	99.238	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.9	0	0.69194	114.14085	4.5	8	0	0	1.8028	-107.45	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10907	2	0	0	0	3.93	40.6	1.90098	3.8	0	0	0
"2-Methyl propanoic acid, methyl ester"	102.7	11039	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	443.80348	114.12161	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	66.5	0	0.86985	102.06808	-8.9957	7	2	0	1.92094	-111.83097	102.1317	102.06808	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11039	2	26.3	0	0	2.47418	116.2725	1.71621	1.2	0	0	0
"3,3-Dimethyl-1-Butene"	111.7	11210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	344.03883	126.20372	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	45.5	0	0.84377	84.0939	3.87943	6	0	0	2.05683	-130.27634	84.15948	84.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11210	1	0	0	0	2.32207	202.99594	2.54502	2.7	0	0	1
"2,3,3-Trimethylpentane"	106.1	11215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	378.00469	129.78147	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.4	0	0.78523	114.14085	13.81028	8	0	0	2.96704	-122.43188	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11215	2	0	0	0	2.7111	216.55199	3.00472	3.8	0	0	0
"2,3,3-Trimethyl-1-Pentene"	106	11216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	370.2683	117.20619	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	88.2	0	0.8298	112.1252	7.76587	8	0	0	2.00997	-132.06877	112.21264	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11216	2	0	0	0	1.90115	7413.67174	2.91975	3.9	1	0	0
"3,3-Dimethylhexane"	75.5	11233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	493.57286	39.12343	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.1	0	0.66514	114.14085	20.24108	8	0	0	2.35583	-109.66401	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11233	3	0	0	0	2.36095	670.11819	1.97177	4.1	0	0	0
